SIS User ID,Section,Getting Started Quiz (4618297),Introductions (4618299),Time Management (4618300),Grit and Growth Mindset (4618298),Professor Visit (4619372),Quiz 01 Java (4616867),Quiz 02 Data Types  (4616862),Quiz 03 Strings  (4616864),Quiz 04 Methods (4616870),Quiz 5 Strings and Library Classes (4624966),Quiz 06 Conditions and Operators (4616863),Quiz 07 Loops (4616874),Quiz 08 Objects (4616865),Quiz 09 Inheritance and Polymorphism (4616866),Quiz 10 Arrays (4616871),Quiz Avg,Quiz 11 Exceptions (4616861),Exercises 1 (4616876),Exercises 2 (4616880),Exercises 3 (4616881),Exercises 4 (4616882),Exercises 5 (4616883),Exercises 6 (4616884),Exercises 7 (4616885),Exercises 8 (4616886),Exercises 9 (4616887),Exercises 10 (4616877),Exercises 11 (4616878),Integration Project PSI 1 Inspection (4616892),Integration Project PSI 2 Inspection (4616893),Integration Project Final  (4616891),Team Communication (4616909),Team Collaboration (4617442),SPoI (4616908),Portfolio Update (4616907),Midterm Exam (4617349),Post-Test- Requires Respondus LockDown Browser (4616872),Final Exam Code (4616868),Final Exam (4617350),Final Cumulative Exam (4617351),1Z0-811 (4619272),1Z0-808 (4617307),Section 2 (4619989),Section 3 Lessons 1-2 (4620008),Section 3 Lesson 3-5 (4620078),Section 4 Lessons 1-2 (4620068),Section 4 Lessons 3-5 (4620061),Section 5 (4620051),Section 6 (4620039),Section 7 Lessons 1-3 (4620026),Section 7 Lessons 4-6 (4620021),Section 8 (4620093),Section 9 (4620095),Ticket 01 (4620207),Ticket 02 (4620266),Ticket 03 (4620265),Ticket 04 (4620264),Ticket 05 (4620263),Ticket 06 (4620262),Ticket 07 (4620261),Ticket 08 (4620260),Ticket 09 (4620259),Ticket 10 (4620258),Ticket 11 (4620269),Ticket 12 (4620268),Ticket 13 (4673682),Journal 7 (4616904),Journal 8 (4616905),Journal 9 (4616906),Journal 10 (4616896),Journal 11 (4616897),Journal 12 (4616898),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,iLearning Quizzes Current Score,iLearning Quizzes Unposted Current Score,iLearning Quizzes Final Score,iLearning Quizzes Unposted Final Score,Class Quizzes Current Score,Class Quizzes Unposted Current Score,Class Quizzes Final Score,Class Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Tickets Current Score,Tickets Unposted Current Score,Tickets Final Score,Tickets Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Engagement Current Score,Engagement Unposted Current Score,Engagement Final Score,Engagement Unposted Final Score,Wrap Up Current Score,Wrap Up Unposted Current Score,Wrap Up Final Score,Wrap Up Unposted Final Score,Exams Current Score,Exams Unposted Current Score,Exams Final Score,Exams Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,,100,100,100,100,100,10,10,10,10,10,11,10,10,10,10,100,10,100,100,100,100,100,100,100,100,100,100,100,100,100,200,100,100,50,100,100,34,100,100,200,0,0,100,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
STU815159281,201808-80599-1,100,100,100,67,100,8,9,3,3,5,0,5,0,6,0,38.61386139,6,100,100,100,70,100,85,100,50,100,100,70,97,90,165,100,0,50,100,88,28,29,94,168,0,0,88,100,100,100,100,95,100,100,88,100,100,0,10,10,0,0,0,10,10,0,0,0,0,0,10,10,10,10,10,10,93.4,93.4,93.4,93.4,100,100,100,100,97.36,97.36,97.36,97.36,50,50,50,50,88.64,88.64,88.64,88.64,30.77,30.77,30.77,30.77,88,88,88,88,50,50,50,50,100,100,100,100,76.22,76.22,76.22,76.22,,,,,78.46,78.46,78.46,78.46
STU815187622,201808-80599-1,100,100,0,13,0,4,10,10,7,9,10,8,7,0,7,71.28712871,8,100,100,100,100,50,85,0,100,0,70,50,55,36,80,0,20,50,20,78,19,0,76,104,0,0,60,88,67,27,67,47,47,53,100,100,100,10,10,0,10,10,10,0,10,0,10,10,10,10,4,4,4,4,10,10,42.6,42.6,42.6,42.6,60,60,60,60,68.73,68.73,68.73,68.73,83.52,83.52,83.52,83.52,68.64,68.64,68.64,68.64,76.92,76.92,76.92,76.92,42.75,42.75,42.75,42.75,10,10,10,10,46.67,46.67,46.67,46.67,51.87,51.87,51.87,51.87,,,,,58.21,58.21,58.21,58.21
STU815201335,201808-80599-1,100,100,100,80,100,10,9,7,0,6,8,7,10,9,9,74.25742574,4,100,100,100,100,100,100,100,100,100,100,100,94,61,0,100,100,50,90,86,29,24,94,176,0,0,67,100,100,100,100,100,100,100,100,100,100,10,10,10,0,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,96,96,96,96,100,100,100,100,97,97,97,97,82.42,82.42,82.42,82.42,100,100,100,100,76.92,76.92,76.92,76.92,38.75,38.75,38.75,38.75,100,100,100,100,93.33,93.33,93.33,93.33,76.59,76.59,76.59,76.59,,,,,79.91,79.91,79.91,79.91
STU815144835,201808-80599-1,100,100,100,100,0,8,8,0,7,6,8,3,9,5,7,60.3960396,0,100,100,100,100,100,100,100,100,100,100,100,50,39,105,100,0,50,80,74,22,64,88,164,0,0,100,95,88,95,100,88,88,95,95,95,100,10,10,0,10,0,0,10,10,0,10,0,10,10,8,10,10,10,10,0,80,80,80,80,80,80,80,80,94.45,94.45,94.45,94.45,67.03,67.03,67.03,67.03,100,100,100,100,61.54,61.54,61.54,61.54,48.5,48.5,48.5,48.5,50,50,50,50,86.67,86.67,86.67,86.67,77.15,77.15,77.15,77.15,115,,,,74.75,74.75,74.75,74.75
STU815189756,201808-80599-1,100,100,100,100,100,7,10,9,7,10,8,8,6,5,7,76.23762376,9,100,100,100,100,100,100,100,85,85,100,100,93,59,145,100,90,50,100,100,25,55,74,124,0,0,88,100,100,67,100,100,100,95,100,88,95,10,10,10,10,10,0,10,10,0,10,10,10,10,4,10,0,10,10,10,100,100,100,100,73.33,73.33,73.33,73.33,93.91,93.91,93.91,93.91,82.42,82.42,82.42,82.42,97.27,97.27,97.27,97.27,84.62,84.62,84.62,84.62,74.25,74.25,74.25,74.25,95,95,95,95,100,100,100,100,70.79,70.79,70.79,70.79,,,,,84.61,84.61,84.61,84.61
STU815106000,201808-80599-1,100,100,100,67,100,8,9,10,5,8,8,10,6,9,8,80.1980198,9,100,85,85,100,100,100,100,100,100,100,100,85,72,150,100,85,50,90,96,24,26,96,144,0,0,100,100,100,100,100,100,100,67,88,100,100,10,10,10,10,10,10,10,0,10,10,10,10,10,8,7,10,10,10,10,93.4,93.4,93.4,93.4,91.67,91.67,91.67,91.67,95.91,95.91,95.91,95.91,86.81,86.81,86.81,86.81,97.27,97.27,97.27,97.27,92.31,92.31,92.31,92.31,76.75,76.75,76.75,76.75,92.5,92.5,92.5,92.5,93.33,93.33,93.33,93.33,72.28,72.28,72.28,72.28,,,,,87.07,87.07,87.07,87.07
STU815175996,201808-80599-1,100,100,100,100,0,10,10,6,8,8,5.75,4,9,9,7,75.99009901,9,100,100,100,100,100,100,100,100,100,100,100,35,0,0,100,85,50,100,94,28,55,100,192,0,0,100,100,100,100,100,100,88,100,100,100,100,10,10,10,10,0,0,10,10,10,10,10,10,0,10,0,0,0,0,0,80,80,80,80,16.67,16.67,16.67,16.67,98.91,98.91,98.91,98.91,84.44,84.44,84.44,84.44,100,100,100,100,76.92,76.92,76.92,76.92,8.75,8.75,8.75,8.75,92.5,92.5,92.5,92.5,100,100,100,100,87.83,87.83,87.83,87.83,,,,,70.05,70.05,70.05,70.05
STU815124381,201808-80599-1,100,100,100,34,0,9,10,9,9,8,10,7,10,7,5,83.16831683,9,100,100,100,100,100,85,100,100,100,100,100,83,51,70,0,0,50,100,82,27,31,74,144,0,0,67,100,88,88,100,67,95,95,100,100,95,10,10,10,10,10,0,10,10,10,10,0,10,0,4,4,4,4,4,4,66.8,66.8,66.8,66.8,40,40,40,40,90.45,90.45,90.45,90.45,89.01,89.01,89.01,89.01,98.64,98.64,98.64,98.64,76.92,76.92,76.92,76.92,51,51,51,51,0,0,0,0,100,100,100,100,67.04,67.04,67.04,67.04,,,,,71.8,71.8,71.8,71.8
STU815171232,201808-80599-1,100,90,100,100,100,9,9,7,8,10,9.75,6,10,8,10,85.89108911,9,100,100,100,100,100,100,100,100,100,100,100,83,82,155,100,0,50,90,92,27,97,94,164,0,0,95,100,100,100,100,100,100,100,100,100,100,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,98,98,98,98,100,100,100,100,99.55,99.55,99.55,99.55,90.93,90.93,90.93,90.93,100,100,100,100,84.62,84.62,84.62,84.62,80,80,80,80,50,50,50,50,93.33,93.33,93.33,93.33,88.76,88.76,88.76,88.76,,,,,89.77,89.77,89.77,89.77
STU815183779,201808-80599-1,71.33,100,100,100,100,9,10,6,6,9,7,9,4,7,9,75.24752475,8,100,100,100,100,100,85,100,100,100,100,100,82,87,120,100,60,50,90,84,26,29,78,144,0,0,67,88,100,100,100,88,100,100,100,100,100,10,10,10,10,10,0,10,10,0,10,8,10,0,6,5,10,10,10,10,94.27,94.27,94.27,94.27,85,85,85,85,94.82,94.82,94.82,94.82,81.32,81.32,81.32,81.32,98.64,98.64,98.64,98.64,75.38,75.38,75.38,75.38,72.25,72.25,72.25,72.25,80,80,80,80,93.33,93.33,93.33,93.33,67.6,67.6,67.6,67.6,,,,,82.77,82.77,82.77,82.77
STU815185138,201808-80599-1,100,100,100,47,100,7,7,5,4,9,9,8,7,7,8,70.2970297,0,100,100,100,100,85,100,100,100,100,100,100,73,71,75,0,20,50,90,84,28,41,96,152,0,0,67,100,88,100,95,100,60,95,100,95,100,10,10,10,0,10,0,0,10,10,0,8,0,0,0,0,0,4,4,4,89.4,89.4,89.4,89.4,20,20,20,20,90.91,90.91,90.91,90.91,73.63,73.63,73.63,73.63,98.64,98.64,98.64,98.64,52.31,52.31,52.31,52.31,54.75,54.75,54.75,54.75,10,10,10,10,93.33,93.33,93.33,93.33,75.09,75.09,75.09,75.09,,,,,70.33,70.33,70.33,70.33
STU815145184,201808-80599-1,100,100,100,100,100,10,9,7,4,8,8,6,10,6,8,75.24752475,7,100,100,100,100,100,100,100,100,100,100,100,90,45,110,100,100,50,50,88,28,51,80,184,0,0,100,100,88,100,95,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,98.45,98.45,98.45,98.45,80.22,80.22,80.22,80.22,100,100,100,100,100,100,100,100,61.25,61.25,61.25,61.25,100,100,100,100,66.67,66.67,66.67,66.67,80.71,80.71,80.71,80.71,,,,,86.44,86.44,86.44,86.44
STU815171393,201808-80599-1,80,100,100,100,0,7,10,8,10,8,0,0,0,7,10,59.40594059,0,100,100,100,100,100,100,0,0,85,0,0,95,86,150,100,0,50,50,92,31,89,76,176,1,0,100,100,95,100,100,100,100,100,100,100,95,10,10,10,10,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,76,76,76,76,0,0,0,0,99.09,99.09,99.09,99.09,66.67,66.67,66.67,66.67,62.27,62.27,62.27,62.27,53.85,53.85,53.85,53.85,82.75,82.75,82.75,82.75,50,50,50,50,66.67,66.67,66.67,66.67,86.89,86.89,86.89,86.89,,,,,69.6,69.6,69.6,69.6
STU815177678,201808-80599-1,100,100,100,100,100,7,6,8,7,9,8.5,8,10,5,9,76.73267327,10,100,100,100,100,50,100,100,100,100,0,0,98,92,175,100,100,50,100,90,29,80,96,172,0,0,100,100,100,100,100,100,100,95,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,99.55,99.55,99.55,99.55,84.07,84.07,84.07,84.07,77.27,77.27,77.27,77.27,100,100,100,100,91.25,91.25,91.25,91.25,100,100,100,100,100,100,100,100,87.45,87.45,87.45,87.45,,,,,90.35,90.35,90.35,90.35
STU815189258,201808-80599-1,100,100,100,100,0,8,9,7,5,9,10,6,8,9,8,78.21782178,7,100,100,100,100,100,85,0,0,0,0,0,14,21,60,0,75,0,90,90,27,28,82,156,0,0,100,95,88,88,100,100,88,88,60,100,100,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,80,80,80,80,100,100,100,100,91.55,91.55,91.55,91.55,82.42,82.42,82.42,82.42,53.18,53.18,53.18,53.18,92.31,92.31,92.31,92.31,23.75,23.75,23.75,23.75,37.5,37.5,37.5,37.5,60,60,60,60,71.72,71.72,71.72,71.72,,,,,63.41,63.41,63.41,63.41
STU815171950,201808-80599-1,100,90,100,100,100,8,10,7,5,8,7,6,10,8,10,78.21782178,7,100,100,85,85,100,85,100,70,100,100,100,77,72,145,100,85,50,100,96,24,57,92,176,0,0,100,88,100,100,100,100,100,100,95,100,100,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,98,98,98,98,100,100,100,100,98.45,98.45,98.45,98.45,82.42,82.42,82.42,82.42,93.18,93.18,93.18,93.18,100,100,100,100,73.5,73.5,73.5,73.5,92.5,92.5,92.5,92.5,100,100,100,100,83.33,83.33,83.33,83.33,,,,,88.71,88.71,88.71,88.71
STU815082976,201808-80599-1,80,100,100,100,0,8,9,7,8,4,7,8,0,5,0,55.44554455,0,100,100,100,100,100,85,85,85,70,100,100,47,50,85,100,75,50,90,88,23,14,66,136,0,0,60,95,60,100,67,100,60,100,67,88,95,10,10,10,0,10,0,0,0,0,0,0,0,0,10,5,7,10,6,4,76,76,76,76,70,70,70,70,81.09,81.09,81.09,81.09,61.54,61.54,61.54,61.54,93.18,93.18,93.18,93.18,30.77,30.77,30.77,30.77,45.5,45.5,45.5,45.5,87.5,87.5,87.5,87.5,93.33,93.33,93.33,93.33,61.24,61.24,61.24,61.24,,,,,66.83,66.83,66.83,66.83
STU815182446,201808-80599-1,100,100,100,100,100,10,10,7,8,7,10,9,10,6,10,86.13861386,7,100,100,100,100,100,100,100,100,100,100,100,75,25,85,100,0,50,100,86,28,64,80,160,0,0,60,100,95,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,100,100,100,100,83.33,83.33,83.33,83.33,95.91,95.91,95.91,95.91,89.01,89.01,89.01,89.01,100,100,100,100,100,100,100,100,46.25,46.25,46.25,46.25,50,50,50,50,100,100,100,100,78.28,78.28,78.28,78.28,,,,,81.63,81.63,81.63,81.63
STU815177513,201808-80599-1,100,70,100,0,100,9,9,7,6,8,8,0,7,6,0,59.40594059,0,100,100,100,100,100,100,100,100,100,100,100,89,67,55,100,0,50,0,92,23,73,90,172,0,0,100,100,95,100,100,100,100,95,95,100,100,10,10,10,10,10,10,10,10,10,10,0,0,0,10,0,0,0,0,0,74,74,74,74,16.67,16.67,16.67,16.67,98.64,98.64,98.64,98.64,65.93,65.93,65.93,65.93,100,100,100,100,76.92,76.92,76.92,76.92,52.75,52.75,52.75,52.75,50,50,50,50,33.33,33.33,33.33,33.33,84.27,84.27,84.27,84.27,,,,,72.62,72.62,72.62,72.62
STU815088294,201808-80599-1,100,100,100,100,0,10,9,0,6,8,7.75,8,8,7,8,71.03960396,0,100,85,70,85,50,85,100,100,100,85,100,89,98,125,0,0,50,100,90,29,15,84,136,0,0,100,60,60,100,95,100,100,88,100,67,100,0,10,10,10,0,10,0,10,0,0,0,10,10,0,0,0,0,0,0,80,80,80,80,0,0,0,0,88.18,88.18,88.18,88.18,78.85,78.85,78.85,78.85,87.27,87.27,87.27,87.27,53.85,53.85,53.85,53.85,78,78,78,78,0,0,0,0,100,100,100,100,66.29,66.29,66.29,66.29,,,,,69.88,69.88,69.88,69.88
